1	H	1	1	1.0079	1	1	0	0.37	0
3	Li	1	1	6.941	2	1	1	1.31	0.02847
3	A	1	1	6.941	2	1	1	1.31	0.02847
4	Be	2	2	9.0122	2	2	1	0.91	0.01474
5	B	3	3	10.811	2	3	1	0.71	0.00903
6	C	2	4	12.0107	2	4	1	0.77	0.08509
6	C	3	4	12.0107	2	4	1	0.77	0.08509
6	C	4	4	12.0107	2	4	1	0.77	0.00611
6	C	-2	4	12.0107	2	4	1	0	0
7	N	-3	5	14.0067	2	5	1	1.32	0.197
7	N	3	5	14.0067	2	5	1	0.74	0.06661
7	N	5	5	14.0067	2	5	1	0.74	0.0044
8	O	-2	-2	15.9994	2	6	1	1.33	0.14752
8	O	6	-2	15.9994	2	6	1	0.74	0.00333
9	F	-1	-1	18.9994	2	7	1	1.26	0.14262
11	Na	1	1	22.9898	3	1	1	1.66	0.04746
12	Mg	2	2	24.305	3	2	1	1.36	0.03072
13	Al	3	3	26.9815	3	3	1	1.11	0.02185
14	Si	4	4	28.0855	3	4	1	1.17	0.01644
15	P	3	5	30.9738	3	5	1	1.1	0.09416
15	P	5	5	30.9738	3	5	1	1.1	0.01287
16	S	-2	-2	32.066	3	6	1	1.77	0.22433
16	S	4	-2	32.066	3	6	1	1.04	0.07882
16	S	6	-2	32.066	3	6	1	1.04	0.01037
17	Cl	-1	-1	35.4527	3	7	1	1.74	0.21389
17	Cl	3	-1	35.4527	3	7	1	0.99	0.14437
17	Cl	5	-1	35.4527	3	7	1	0.99	0.07909
17	Cl	7	-1	35.4527	3	7	1	0.99	0.00854
18	Ar	0	0	39.948	3	8	1	0	0.99999
19	K	1	1	39.0983	4	1	1	2.06	0.07328
20	Ca	2	2	40.078	4	2	1	1.66	0.05123
21	Sc	3	3	44.9559	4	3	2	1.46	0.04104
22	Ti	2	4	47.867	4	4	2	1.26	0.14372
22	Ti	3	4	47.867	4	4	2	1.26	0.12678
22	Ti	4	4	47.867	4	4	2	1.26	0.03569
23	V	2	5	50.9415	4	5	2	1.21	0.13628
23	V	3	5	50.9415	4	5	2	1.21	0.11507
23	V	4	5	50.9415	4	5	2	1.21	0.1077
23	V	5	5	50.9415	4	5	2	1.21	0.03182
24	Cr	2	6	51.9961	4	6	2	1.21	0.13819
24	Cr	3	6	51.9961	4	6	2	1.21	0.10989
24	Cr	4	6	51.9961	4	6	2	1.21	0.0985
24	Cr	5	6	51.9961	4	6	2	1.21	0.09446
24	Cr	6	6	51.9961	4	6	2	1.21	0.02876
25	Mn	2	7	54.938	4	7	2	1.26	0.11097
25	Mn	3	7	54.938	4	7	2	1.26	0.11405
25	Mn	4	7	54.938	4	7	2	1.26	0.09413
25	Mn	5	7	54.938	4	7	2	1.26	0.08653
25	Mn	6	7	54.938	4	7	2	1.26	0.08464
25	Mn	7	7	54.938	4	7	2	1.26	0.02654
26	Fe	2	3	55.845	4	8	2	1.26	0.13832
26	Fe	3	3	55.845	4	8	2	1.26	0.08271
